label,message
spam,Act now! Your exclusive reward is waiting!
ham,Are you coming to the library?
ham,I'll call you when I get home.
spam,Limited time reward! Act now to receive it!
spam,Exclusive offer! You have been chosen to receive $500!
ham,I'll be there in ten minutes.
ham,Did you remember the meeting?
ham,Did you finish the project?
ham,Can you send me the instructions?
ham,Please send me the timetable.
ham,Don't forget to bring your book tomorrow.
spam,You are a winner! Your prize is ready!
ham,Have you finished your homework?
spam,You were selected to win a huge reward!
spam,Congratulations! Your prize is waiting!
ham,Are you coming to class tomorrow?
spam,Your exclusive prize is ready!
ham,Can we meet after class?
spam,Your exclusive cash reward is waiting!
ham,Can you remind me tomorrow morning?
ham,Can you help me with the assignment?
ham,Thanks for helping with the assignment.
ham,What page are we supposed to read?
ham,Can you send the file again?
ham,Are you ready for the presentation?
ham,What should I bring tomorrow?
ham,I'll bring the book tomorrow.
spam,Claim your $500 reward before the offer ends!
spam,FREE prize available! Claim it now!
ham,I'll see you at five.
spam,FREE reward alert! You are a winner!
ham,Can we discuss the project later?
spam,URGENT! You have been selected to receive money!
spam,Act now and receive your exclusive prize!
ham,I'll be home around eight.
ham,Can we work on the project together?
spam,URGENT! Your exclusive prize expires soon!
spam,You have been chosen to receive a special reward!
ham,What are you doing this weekend?
ham,Did you finish reading the chapter?
spam,Claim your FREE money before the offer expires!
ham,I'll see you after lunch.
spam,Claim your cash prize before time runs out!
spam,WINNER! Click here to claim your amazing prize!
spam,Claim your gift and enter to win more!
spam,Exclusive prize! You are one of the lucky winners!
spam,WINNER! Your exclusive gift is ready!
spam,URGENT! Claim your FREE reward now!
spam,WIN BIG! Your cash prize is waiting!
ham,Can you help me tomorrow?
ham,"Hey, are we still meeting today?"
spam,WINNER! Claim your special bonus!
ham,Did you get my message?
spam,Your prize has been approved! Claim it now!
spam,You have been selected for a $1000 cash prize!
spam,You have won! Send your details to receive your prize.
spam,You won a huge cash prize! Claim now!
spam,You have been selected for an exclusive FREE gift!
spam,WIN BIG today and claim your FREE prize!
ham,What are we doing for the project?
spam,You could be our next BIG winner!
ham,I'll send the document later.
spam,Congratulations! Claim your $500 bonus today!
spam,"Congratulations, you've been selected for a FREE gift!"
ham,What time should we meet tomorrow?
ham,Let's meet at 5pm.
spam,Limited offer: your FREE gift is ready!
spam,FREE money offer! Claim your reward now!
spam,Limited time offer! Get your free gift today!
ham,Did you hear what the teacher said?
spam,You have won a special cash reward!
spam,Congratulations! You won an exclusive vacation!
ham,Do you want to study together?
ham,I'll bring the notes with me.
ham,Are you finished with the report?
ham,Did you bring your notebook?
spam,URGENT reward notice: you are a winner!
spam,Congratulations! A special prize has been reserved for you!
spam,Claim your FREE money today!
spam,URGENT: You have won a cash reward!
spam,WIN BIG! Claim your free reward today!
spam,FREE entry gives you a chance to win big!
ham,Are you available after school?
ham,I'll meet you outside the library.
spam,Exclusive offer! Receive your FREE reward today!
spam,Limited offer! Claim your cash reward today!
spam,URGENT! Claim your winner reward!
ham,I'll send the homework tonight.
ham,I'll bring my laptop.
spam,Limited time only: FREE prize available!
spam,URGENT! Your FREE gift is waiting!
ham,Did you complete your part of the project?
ham,Can you help me with this problem?
spam,Congratulations! You have qualified for a special reward!
spam,Congratulations! Receive your FREE gift now!
ham,Are you free on Saturday?
spam,Exclusive winner offer! Claim your prize!
ham,What time are you coming?
ham,What time does the class start?
spam,URGENT! Your prize claim is pending!
spam,Congratulations! You have won a free prize!
